Tema;Keyword;Site;Categoria;Ancora 1;URL do Link 1;Dofollow_link_1;Ancora 2;URL do Link 2;Dofollow_link_2;Ancora 3;URL do Link 3;Dofollow_link_3;Imagem;Insere Imagem no Post;Link Interno;Programacao de Postagem;URL da Publicação;Nota de SEO;Dominio;Gdrive;Video
O que é o comportamento obsessivo compulsivo? ;comportamento obsessivo compulsivo;;;comportamento obsessivo compulsivo;https://educonse.com.br/5-diferencas-entre-comportamentos-obsessivo-compulsivos-e-manias/;Sim;;;;;;;https://drive.google.com/drive/folders/1VOIvd3ffXWC3DiWbcAuxNzfb_xpKGUSY?usp=sharing;Sim;Não;-2;;;www.mundoblogger.com.br;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que e depressao de alto funcionamento?;depressao de alto funcionamento;;;depressao de alto funcionamento;https://educonse.com.br/depressao-de-alto-funcionamento-o-que-e-e-quais-sao-seus-5-sinais/;Sim;;;;;;;;Sim;Não;-2;;;https://codigosblog.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Quais são os tipos de toc? ;tipos de toc;;;tipos de toc;https://educonse.com.br/que-tipos-de-toc-existem-e-como-podem-ser-superados-um-guia-pratico/;Sim;;;;;;;;Sim;Não;-2;;;https://afiliados-na-web.com/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é borderline? ;borderline;;;borderline;https://educonse.com.br/armadilhas-vitais-do-transtorno-de-personalidade-borderline-o-que-sao/;Sim;;;;;;;;Sim;Não;-2;;;https://enderecofiscal.tk/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Como se livrar da depressao morando fora do país? ;depressão morando fora;;;depressão morando fora;https://educonse.com.br/tenho-depressao-morando-no-exterior-o-que-fazer/;Sim;;;;;;;;Sim;Não;-2;;;https://enderecofiscalrp.tk/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é o transtorno de ansiedade? ;transtorno de ansiedade;;;transtorno de ansiedade;https://educonse.com.br/os-5-transtornos-de-ansiedade-mais-comuns-na-idade-adulta/;Sim;;;;;;;;Sim;Não;-2;;;https://thalitabarone.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
Porque acontece a automutilação? ;automutilação;;;automutilação;https://educonse.com.br/automutilacao-em-adolescentes-quais-sao-as-consequencias-sociais/;Sim;;;;;;;;Sim;Não;-2;;;https://ondefica.dicasblogger.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que é a pressão social? ;pressão social;;;pressão social;https://educonse.com.br/os-8-tipos-de-pressao-social-como-nos-afetam/;Sim;;;;;;;;Sim;Não;-2;;;https://aesweb.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que são pensamentos obsessivos? ;pensamentos obsessivos;;;pensamentos obsessivos;https://educonse.com.br/pensamentos-obsessivos-por-que-aparecem-e-como-combate-los/;Sim;;;;;;;;Sim;Não;-2;;;https://aromazze.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
O que e brontofobia? ;brontofobia;;;brontofobia;https://educonse.com.br/brontofobia-sintomas-causas-e-tratamento/;Sim;;;;;;;;Sim;Não;-2;;;https://criacaodesitesmk.com.br/;https://drive.google.com/drive/u/1/folders/10rjAEFBjzwA36RdK9MvW2YatRkiUOFbi;Sim
